sleep,,,,3625
down,Escape,,,0
sleep,,,,172
up,Escape,,,0
sleep,,,,1594
down,r,,,0
sleep,,,,141
up,r,,,0
sleep,,,,921
down,Enter,,,0
sleep,,,,94
up,Enter,,,0
sleep,,,,8797
click,left,22,452,120
sleep,,,,1641
click,left,387,129,120
sleep,,,,1297
down,i,,,0
sleep,,,,4140
up,i,,,0
sleep,,,,641
down,o,,,0
sleep,,,,5406
up,o,,,0
sleep,,,,875
down,w,,,0
sleep,,,,4266
up,w,,,0
sleep,,,,625
down,a,,,0
sleep,,,,3843
down,Space,,,0
sleep,,,,172
up,Space,,,0
sleep,,,,1266
up,a,,,0
sleep,,,,750
down,w,,,0
sleep,,,,2703
up,w,,,0
sleep,,,,1172
down,d,,,0
sleep,,,,250
down,Space,,,0
sleep,,,,187
up,Space,,,0
sleep,,,,860
up,d,,,0
sleep,,,,703
down,e,,,0
sleep,,,,94
up,e,,,0
sleep,,,,7781
click,left,883,850,120
sleep,,,,3500
click,left,872,943,120
sleep,,,,2375
click,left,831,401,120
sleep,,,,1375
click,left,650,803,120
sleep,,,,2000
click,left,791,618,120
